producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4999 records sent, 999.0 records/sec (0.98 MB/sec), 66.8 ms avg latency, 1061.0 ms max latency.
5004 records sent, 1000.4 records/sec (0.98 MB/sec), 4.1 ms avg latency, 22.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.1 ms avg latency, 27.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 18.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 8.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 8.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 24.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5001 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 20.0 ms max latency.
5006 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 7.0 ms max latency.
5007 records sent, 1000.4 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5002 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 12.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 11.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
100000 records sent, 999.690096 records/sec (0.98 MB/sec), 7.04 ms avg latency, 1061.00 ms max latency, 4 ms 50th, 6 ms 95th, 205 ms 99th, 322 ms 99.9th.
