producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4995 records sent, 999.0 records/sec (0.98 MB/sec), 55.8 ms avg latency, 1034.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 4.1 ms avg latency, 9.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 4.0 ms avg latency, 36.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 8.0 ms max latency.
5005 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 8.0 ms max latency.
5001 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 8.0 ms max latency.
5002 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 21.0 ms max latency.
5002 records sent, 1000.4 records/sec (0.98 MB/sec), 3.8 ms avg latency, 11.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 3.8 ms avg latency, 8.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.8 ms avg latency, 8.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 10.0 ms max latency.
5004 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 24.0 ms max latency.
5003 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 9.0 ms max latency.
5003 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 15.0 ms max latency.
5006 records sent, 1000.0 records/sec (0.98 MB/sec), 3.9 ms avg latency, 21.0 ms max latency.
5006 records sent, 1000.4 records/sec (0.98 MB/sec), 3.9 ms avg latency, 26.0 ms max latency.
5003 records sent, 999.8 records/sec (0.98 MB/sec), 3.9 ms avg latency, 25.0 ms max latency.
5007 records sent, 1000.2 records/sec (0.98 MB/sec), 3.9 ms avg latency, 16.0 ms max latency.
100000 records sent, 999.670109 records/sec (0.98 MB/sec), 6.48 ms avg latency, 1034.00 ms max latency, 4 ms 50th, 6 ms 95th, 148 ms 99th, 276 ms 99.9th.
