producer_index=1
producer_count=1
producer_records=100000
producer_throughput=1000
4999 records sent, 999.8 records/sec (9.76 MB/sec), 342.5 ms avg latency, 1324.0 ms max latency.
5004 records sent, 1000.6 records/sec (9.77 MB/sec), 2.0 ms avg latency, 29.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 1.9 ms avg latency, 23.0 ms max latency.
5001 records sent, 1000.0 records/sec (9.77 MB/sec), 1.9 ms avg latency, 19.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.9 ms avg latency, 23.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 2.0 ms avg latency, 24.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.9 ms avg latency, 21.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.9 ms avg latency, 7.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.9 ms avg latency, 25.0 ms max latency.
5002 records sent, 1000.4 records/sec (9.77 MB/sec), 1.8 ms avg latency, 15.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.9 ms avg latency, 44.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.9 ms avg latency, 39.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 2.0 ms avg latency, 61.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 2.1 ms avg latency, 36.0 ms max latency.
5001 records sent, 1000.2 records/sec (9.77 MB/sec), 2.0 ms avg latency, 52.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.9 ms avg latency, 25.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 6.0 ms max latency.
5000 records sent, 1000.0 records/sec (9.77 MB/sec), 1.9 ms avg latency, 24.0 ms max latency.
5002 records sent, 1000.2 records/sec (9.77 MB/sec), 1.8 ms avg latency, 19.0 ms max latency.
100000 records sent, 999.720078 records/sec (9.76 MB/sec), 18.93 ms avg latency, 1324.00 ms max latency, 1 ms 50th, 4 ms 95th, 795 ms 99th, 847 ms 99.9th.
